"Options.SECTION:[algernon.ImageOverlay]"	"Görüntü Kaplama"
"Options.OPTION:MoveEastLargeBinding"	"Doğuya 10m taşı"
"Options.OPTION_DESCRIPTION:MoveEastLargeBinding"	"Kaplama görüntüsünü doğuya 10m taşır."
"Options.OPTION:MoveWestLargeBinding"	"Batıya 10m taşı"
"Options.OPTION_DESCRIPTION:MoveWestLargeBinding"	"Kaplama görüntüsünü batıya 10m taşır."
"Options.OPTION:RotateLeftBinding"	"Saat yönü tersine döndür"
"Options.OPTION_DESCRIPTION:RotateLeftBinding"	"Kaplama görüntüsünü saat yönü tersine 1 derece döndürür."
"Options.OPTION:RotateRightBinding"	"Saat yönünde döndür"
"Options.OPTION_DESCRIPTION:RotateRightBinding"	"Kaplama görüntüsünü saat yönünde 1 derece döndürür."
"Options.OPTION:RotateLeftLargeBinding"	"Saat yönü tersine 90 derece döndür"
"Options.OPTION_DESCRIPTION:RotateLeftLargeBinding"	"Kaplama görüntüsünü saat yönü tersine 90 derece döndürür."
"Options.OPTION:RotateRightLargeBinding"	"Saat yönünde 90 derece döndür"
"Options.OPTION_DESCRIPTION:RotateRightLargeBinding"	"Kaplama görüntüsünü saat yönünde 90 derece döndürür."
